Symbol,ISIN Code,Upstox Instrument Key,Upstox Trading Symbol,Instrument Type,Mapping Status
BHARTIARTL,INE397D01024,NSE_EQ|INE397D01024,BHARTIARTL,EQ,FOUND
BOSCHLTD,INE323A01026,NSE_EQ|INE323A01026,BOSCHLTD,EQ,FOUND
BPCL,INE029A01011,NSE_EQ|INE029A01011,BPCL,EQ,FOUND
BRITANNIA,INE216A01030,NSE_EQ|INE216A01030,BRITANNIA,EQ,FOUND
CANBK,INE476A01022,NSE_EQ|INE476A01022,CANBK,EQ,FOUND
CGPOWER,INE067A01029,NSE_EQ|INE067A01029,CGPOWER,EQ,FOUND
CHOLAFIN,INE121A01024,NSE_EQ|INE121A01024,CHOLAFIN,EQ,FOUND
CIPLA,INE059A01026,NSE_EQ|INE059A01026,CIPLA,EQ,FOUND
COALINDIA,INE522F01014,NSE_EQ|INE522F01014,COALINDIA,EQ,FOUND
CUMMINSIND,INE298A01020,NSE_EQ|INE298A01020,CUMMINSIND,EQ,FOUND
DIVISLAB,INE361B01024,NSE_EQ|INE361B01024,DIVISLAB,EQ,FOUND
DLF,INE271C01023,NSE_EQ|INE271C01023,DLF,EQ,FOUND
DMART,INE192R01011,NSE_EQ|INE192R01011,DMART,EQ,FOUND
DRREDDY,INE089A01031,NSE_EQ|INE089A01031,DRREDDY,EQ,FOUND
EICHERMOT,INE066A01021,NSE_EQ|INE066A01021,EICHERMOT,EQ,FOUND
ENRIN,INE1NPP01017,NSE_EQ|INE1NPP01017,ENRIN,EQ,FOUND
ETERNAL,INE758T01015,NSE_EQ|INE758T01015,ETERNAL,EQ,FOUND
GAIL,INE129A01019,NSE_EQ|INE129A01019,GAIL,EQ,FOUND
GODREJCP,INE102D01028,NSE_EQ|INE102D01028,GODREJCP,EQ,FOUND
GRASIM,INE047A01021,NSE_EQ|INE047A01021,GRASIM,EQ,FOUND
HAL,INE066F01020,NSE_EQ|INE066F01020,HAL,EQ,FOUND
HCLTECH,INE860A01027,NSE_EQ|INE860A01027,HCLTECH,EQ,FOUND
HDFCAMC,INE127D01025,NSE_EQ|INE127D01025,HDFCAMC,EQ,FOUND
HDFCBANK,INE040A01034,NSE_EQ|INE040A01034,HDFCBANK,EQ,FOUND
HDFCLIFE,INE795G01014,NSE_EQ|INE795G01014,HDFCLIFE,EQ,FOUND
HINDALCO,INE038A01020,NSE_EQ|INE038A01020,HINDALCO,EQ,FOUND
HINDUNILVR,INE030A01027,NSE_EQ|INE030A01027,HINDUNILVR,EQ,FOUND
HINDZINC,INE267A01025,NSE_EQ|INE267A01025,HINDZINC,EQ,FOUND
HYUNDAI,INE0V6F01027,NSE_EQ|INE0V6F01027,HYUNDAI,EQ,FOUND
ICICIBANK,INE090A01021,NSE_EQ|INE090A01021,ICICIBANK,EQ,FOUND
INDHOTEL,INE053A01029,NSE_EQ|INE053A01029,INDHOTEL,EQ,FOUND
INDIGO,INE646L01027,NSE_EQ|INE646L01027,INDIGO,EQ,FOUND
INFY,INE009A01021,NSE_EQ|INE009A01021,INFY,EQ,FOUND
IOC,INE242A01010,NSE_EQ|INE242A01010,IOC,EQ,FOUND
IRFC,INE053F01010,NSE_EQ|INE053F01010,IRFC,EQ,FOUND
ITC,INE154A01025,NSE_EQ|INE154A01025,ITC,EQ,FOUND
JINDALSTEL,INE749A01030,NSE_EQ|INE749A01030,JINDALSTEL,EQ,FOUND
JIOFIN,INE758E01017,NSE_EQ|INE758E01017,JIOFIN,EQ,FOUND
JSWSTEEL,INE019A01038,NSE_EQ|INE019A01038,JSWSTEEL,EQ,FOUND
KOTAKBANK,INE237A01036,NSE_EQ|INE237A01036,KOTAKBANK,EQ,FOUND
LODHA,INE670K01029,NSE_EQ|INE670K01029,LODHA,EQ,FOUND
LT,INE018A01030,NSE_EQ|INE018A01030,LT,EQ,FOUND
LTM,INE214T01019,NSE_EQ|INE214T01019,LTM,EQ,FOUND
M&M,INE101A01026,NSE_EQ|INE101A01026,M&M,EQ,FOUND
MARUTI,INE585B01010,NSE_EQ|INE585B01010,MARUTI,EQ,FOUND
MAXHEALTH,INE027H01010,NSE_EQ|INE027H01010,MAXHEALTH,EQ,FOUND
MAZDOCK,INE249Z01020,NSE_EQ|INE249Z01020,MAZDOCK,EQ,FOUND
MOTHERSON,INE775A01035,NSE_EQ|INE775A01035,MOTHERSON,EQ,FOUND
MUTHOOTFIN,INE414G01012,NSE_EQ|INE414G01012,MUTHOOTFIN,EQ,FOUND
NESTLEIND,INE239A01024,NSE_EQ|INE239A01024,NESTLEIND,EQ,FOUND
NTPC,INE733E01010,NSE_EQ|INE733E01010,NTPC,EQ,FOUND
ONGC,INE213A01029,NSE_EQ|INE213A01029,ONGC,EQ,FOUND
PFC,INE134E01011,NSE_EQ|INE134E01011,PFC,EQ,FOUND
PIDILITIND,INE318A01026,NSE_EQ|INE318A01026,PIDILITIND,EQ,FOUND
PNB,INE160A01022,NSE_EQ|INE160A01022,PNB,EQ,FOUND
POWERGRID,INE752E01010,NSE_EQ|INE752E01010,POWERGRID,EQ,FOUND
RECLTD,INE020B01018,NSE_EQ|INE020B01018,RECLTD,EQ,FOUND
RELIANCE,INE002A01018,NSE_EQ|INE002A01018,RELIANCE,EQ,FOUND
SBILIFE,INE123W01016,NSE_EQ|INE123W01016,SBILIFE,EQ,FOUND
SBIN,INE062A01020,NSE_EQ|INE062A01020,SBIN,EQ,FOUND
SHREECEM,INE070A01015,NSE_EQ|INE070A01015,SHREECEM,EQ,FOUND
SHRIRAMFIN,INE721A01047,NSE_EQ|INE721A01047,SHRIRAMFIN,EQ,FOUND
SIEMENS,INE003A01024,NSE_EQ|INE003A01024,SIEMENS,EQ,FOUND
SOLARINDS,INE343H01029,NSE_EQ|INE343H01029,SOLARINDS,EQ,FOUND
SUNPHARMA,INE044A01036,NSE_EQ|INE044A01036,SUNPHARMA,EQ,FOUND
TATACAP,INE976I01016,NSE_EQ|INE976I01016,TATACAP,EQ,FOUND
TATACONSUM,INE192A01025,NSE_EQ|INE192A01025,TATACONSUM,EQ,FOUND
TATAPOWER,INE245A01021,NSE_EQ|INE245A01021,TATAPOWER,EQ,FOUND
TATASTEEL,INE081A01020,NSE_EQ|INE081A01020,TATASTEEL,EQ,FOUND
TCS,INE467B01029,NSE_EQ|INE467B01029,TCS,EQ,FOUND
TECHM,INE669C01036,NSE_EQ|INE669C01036,TECHM,EQ,FOUND
TITAN,INE280A01028,NSE_EQ|INE280A01028,TITAN,EQ,FOUND
TMCV,INE1TAE01010,NSE_EQ|INE1TAE01010,TMCV,EQ,FOUND
TMPV,INE155A01022,NSE_EQ|INE155A01022,TMPV,EQ,FOUND
TORNTPHARM,INE685A01028,NSE_EQ|INE685A01028,TORNTPHARM,EQ,FOUND
TRENT,INE849A01020,NSE_EQ|INE849A01020,TRENT,EQ,FOUND
TVSMOTOR,INE494B01023,NSE_EQ|INE494B01023,TVSMOTOR,EQ,FOUND
ULTRACEMCO,INE481G01011,NSE_EQ|INE481G01011,ULTRACEMCO,EQ,FOUND
UNIONBANK,INE692A01016,NSE_EQ|INE692A01016,UNIONBANK,EQ,FOUND
UNITDSPR,INE854D01024,NSE_EQ|INE854D01024,UNITDSPR,EQ,FOUND
VBL,INE200M01039,NSE_EQ|INE200M01039,VBL,EQ,FOUND
VEDL,INE205A01025,NSE_EQ|INE205A01025,VEDL,EQ,FOUND
WIPRO,INE075A01022,NSE_EQ|INE075A01022,WIPRO,EQ,FOUND
ZYDUSLIFE,INE010B01027,NSE_EQ|INE010B01027,ZYDUSLIFE,EQ,FOUND
360ONE,INE466L01038,NSE_EQ|INE466L01038,360ONE,EQ,FOUND
ABCAPITAL,INE674K01013,NSE_EQ|INE674K01013,ABCAPITAL,EQ,FOUND
ALKEM,INE540L01014,NSE_EQ|INE540L01014,ALKEM,EQ,FOUND
APLAPOLLO,INE702C01027,NSE_EQ|INE702C01027,APLAPOLLO,EQ,FOUND
ASHOKLEY,INE208A01029,NSE_EQ|INE208A01029,ASHOKLEY,EQ,FOUND
ASTRAL,INE006I01046,NSE_EQ|INE006I01046,ASTRAL,EQ,FOUND
ATGL,INE399L01023,NSE_EQ|INE399L01023,ATGL,EQ,FOUND
AUBANK,INE949L01017,NSE_EQ|INE949L01017,AUBANK,EQ,FOUND
AUROPHARMA,INE406A01037,NSE_EQ|INE406A01037,AUROPHARMA,EQ,FOUND
BANKINDIA,INE084A01016,NSE_EQ|INE084A01016,BANKINDIA,EQ,FOUND
BDL,INE171Z01026,NSE_EQ|INE171Z01026,BDL,EQ,FOUND
BHARATFORG,INE465A01025,NSE_EQ|INE465A01025,BHARATFORG,EQ,FOUND
BHEL,INE257A01026,NSE_EQ|INE257A01026,BHEL,EQ,FOUND
BIOCON,INE376G01013,NSE_EQ|INE376G01013,BIOCON,EQ,FOUND
BLUESTARCO,INE472A01039,NSE_EQ|INE472A01039,BLUESTARCO,EQ,FOUND
BSE,INE118H01025,NSE_EQ|INE118H01025,BSE,EQ,FOUND
COCHINSHIP,INE704P01025,NSE_EQ|INE704P01025,COCHINSHIP,EQ,FOUND
COFORGE,INE591G01025,NSE_EQ|INE591G01025,COFORGE,EQ,FOUND
COLPAL,INE259A01022,NSE_EQ|INE259A01022,COLPAL,EQ,FOUND
CONCOR,INE111A01025,NSE_EQ|INE111A01025,CONCOR,EQ,FOUND
COROMANDEL,INE169A01031,NSE_EQ|INE169A01031,COROMANDEL,EQ,FOUND
DABUR,INE016A01026,NSE_EQ|INE016A01026,DABUR,EQ,FOUND
DIXON,INE935N01020,NSE_EQ|INE935N01020,DIXON,EQ,FOUND
EXIDEIND,INE302A01020,NSE_EQ|INE302A01020,EXIDEIND,EQ,FOUND
FEDERALBNK,INE171A01029,NSE_EQ|INE171A01029,FEDERALBNK,EQ,FOUND
FORTIS,INE061F01013,NSE_EQ|INE061F01013,FORTIS,EQ,FOUND
GLENMARK,INE935A01035,NSE_EQ|INE935A01035,GLENMARK,EQ,FOUND
GMRAIRPORT,INE776C01039,NSE_EQ|INE776C01039,GMRAIRPORT,EQ,FOUND
GODFRYPHLP,INE260B01028,NSE_EQ|INE260B01028,GODFRYPHLP,EQ,FOUND
GODREJPROP,INE484J01027,NSE_EQ|INE484J01027,GODREJPROP,EQ,FOUND
GROWW,INE0HOQ01053,NSE_EQ|INE0HOQ01053,GROWW,EQ,FOUND
GVT&D,INE200A01026,NSE_EQ|INE200A01026,GVT&D,EQ,FOUND
HAVELLS,INE176B01034,NSE_EQ|INE176B01034,HAVELLS,EQ,FOUND
HEROMOTOCO,INE158A01026,NSE_EQ|INE158A01026,HEROMOTOCO,EQ,FOUND
HINDPETRO,INE094A01015,NSE_EQ|INE094A01015,HINDPETRO,EQ,FOUND
HUDCO,INE031A01017,NSE_EQ|INE031A01017,HUDCO,EQ,FOUND
ICICIAMC,INE346A01027,NSE_EQ|INE346A01027,ICICIAMC,EQ,FOUND
ICICIGI,INE765G01017,NSE_EQ|INE765G01017,ICICIGI,EQ,FOUND
IDEA,INE669E01016,NSE_EQ|INE669E01016,IDEA,EQ,FOUND
IDFCFIRSTB,INE092T01019,NSE_EQ|INE092T01019,IDFCFIRSTB,EQ,FOUND
INDIANB,INE562A01011,NSE_EQ|INE562A01011,INDIANB,EQ,FOUND
INDUSINDBK,INE095A01012,NSE_EQ|INE095A01012,INDUSINDBK,EQ,FOUND
INDUSTOWER,INE121J01017,NSE_EQ|INE121J01017,INDUSTOWER,EQ,FOUND
IRCTC,INE335Y01020,NSE_EQ|INE335Y01020,IRCTC,EQ,FOUND
IREDA,INE202E01016,NSE_EQ|INE202E01016,IREDA,EQ,FOUND
JSWENERGY,INE121E01018,NSE_EQ|INE121E01018,JSWENERGY,EQ,FOUND
JUBLFOOD,INE797F01020,NSE_EQ|INE797F01020,JUBLFOOD,EQ,FOUND
KALYANKJIL,INE303R01014,NSE_EQ|INE303R01014,KALYANKJIL,EQ,FOUND
KEI,INE878B01027,NSE_EQ|INE878B01027,KEI,EQ,FOUND
KPITTECH,INE04I401011,NSE_EQ|INE04I401011,KPITTECH,EQ,FOUND
LAURUSLABS,INE947Q01028,NSE_EQ|INE947Q01028,LAURUSLABS,EQ,FOUND
LENSKART,INE956O01016,NSE_EQ|INE956O01016,LENSKART,EQ,FOUND
LGEINDIA,INE324D01010,NSE_EQ|INE324D01010,LGEINDIA,EQ,FOUND
LICHSGFIN,INE115A01026,NSE_EQ|INE115A01026,LICHSGFIN,EQ,FOUND
LTF,INE498L01015,NSE_EQ|INE498L01015,LTF,EQ,FOUND
LUPIN,INE326A01037,NSE_EQ|INE326A01037,LUPIN,EQ,FOUND
M&MFIN,INE774D01024,NSE_EQ|INE774D01024,M&MFIN,EQ,FOUND
MANKIND,INE634S01028,NSE_EQ|INE634S01028,MANKIND,EQ,FOUND
MARICO,INE196A01026,NSE_EQ|INE196A01026,MARICO,EQ,FOUND
MCX,INE745G01043,NSE_EQ|INE745G01043,MCX,EQ,FOUND
MFSL,INE180A01020,NSE_EQ|INE180A01020,MFSL,EQ,FOUND
MOTILALOFS,INE338I01027,NSE_EQ|INE338I01027,MOTILALOFS,EQ,FOUND
MPHASIS,INE356A01018,NSE_EQ|INE356A01018,MPHASIS,EQ,FOUND
MRF,INE883A01011,NSE_EQ|INE883A01011,MRF,EQ,FOUND
NATIONALUM,INE139A01034,NSE_EQ|INE139A01034,NATIONALUM,EQ,FOUND
NAUKRI,INE663F01032,NSE_EQ|INE663F01032,NAUKRI,EQ,FOUND
NHPC,INE848E01016,NSE_EQ|INE848E01016,NHPC,EQ,FOUND
NMDC,INE584A01023,NSE_EQ|INE584A01023,NMDC,EQ,FOUND
NYKAA,INE388Y01029,NSE_EQ|INE388Y01029,NYKAA,EQ,FOUND
OBEROIRLTY,INE093I01010,NSE_EQ|INE093I01010,OBEROIRLTY,EQ,FOUND
OFSS,INE881D01027,NSE_EQ|INE881D01027,OFSS,EQ,FOUND
OIL,INE274J01014,NSE_EQ|INE274J01014,OIL,EQ,FOUND
PAGEIND,INE761H01022,NSE_EQ|INE761H01022,PAGEIND,EQ,FOUND
PATANJALI,INE619A01035,NSE_EQ|INE619A01035,PATANJALI,EQ,FOUND
PAYTM,INE982J01020,NSE_EQ|INE982J01020,PAYTM,EQ,FOUND
PERSISTENT,INE262H01021,NSE_EQ|INE262H01021,PERSISTENT,EQ,FOUND
PHOENIXLTD,INE211B01039,NSE_EQ|INE211B01039,PHOENIXLTD,EQ,FOUND
PIIND,INE603J01030,NSE_EQ|INE603J01030,PIIND,EQ,FOUND
POLICYBZR,INE417T01026,NSE_EQ|INE417T01026,POLICYBZR,EQ,FOUND
POLYCAB,INE455K01017,NSE_EQ|INE455K01017,POLYCAB,EQ,FOUND
POWERINDIA,INE07Y701011,NSE_EQ|INE07Y701011,POWERINDIA,EQ,FOUND
PREMIERENE,INE0BS701011,NSE_EQ|INE0BS701011,PREMIERENE,EQ,FOUND
PRESTIGE,INE811K01011,NSE_EQ|INE811K01011,PRESTIGE,EQ,FOUND
RADICO,INE944F01028,NSE_EQ|INE944F01028,RADICO,EQ,FOUND
RVNL,INE415G01027,NSE_EQ|INE415G01027,RVNL,EQ,FOUND
SAIL,INE114A01011,NSE_EQ|INE114A01011,SAIL,EQ,FOUND
SBICARD,INE018E01016,NSE_EQ|INE018E01016,SBICARD,EQ,FOUND
SRF,INE647A01010,NSE_EQ|INE647A01010,SRF,EQ,FOUND
SUPREMEIND,INE195A01028,NSE_EQ|INE195A01028,SUPREMEIND,EQ,FOUND
SUZLON,INE040H01021,NSE_EQ|INE040H01021,SUZLON,EQ,FOUND
SWIGGY,INE00H001014,NSE_EQ|INE00H001014,SWIGGY,EQ,FOUND
TATACOMM,INE151A01013,NSE_EQ|INE151A01013,TATACOMM,EQ,FOUND
TATAELXSI,INE670A01012,NSE_EQ|INE670A01012,TATAELXSI,EQ,FOUND
TATAINVEST,INE672A01026,NSE_EQ|INE672A01026,TATAINVEST,EQ,FOUND
TIINDIA,INE974X01010,NSE_EQ|INE974X01010,TIINDIA,EQ,FOUND
UPL,INE628A01036,NSE_EQ|INE628A01036,UPL,EQ,FOUND
VMM,INE01EA01019,NSE_EQ|INE01EA01019,VMM,EQ,FOUND
VOLTAS,INE226A01021,NSE_EQ|INE226A01021,VOLTAS,EQ,FOUND
WAAREEENER,INE377N01017,NSE_EQ|INE377N01017,WAAREEENER,EQ,FOUND
YESBANK,INE528G01035,NSE_EQ|INE528G01035,YESBANK,EQ,FOUND
3MINDIA,INE470A01017,NSE_EQ|INE470A01017,3MINDIA,EQ,FOUND
AADHARHFC,INE883F01010,NSE_EQ|INE883F01010,AADHARHFC,EQ,FOUND
AARTIIND,INE769A01020,NSE_EQ|INE769A01020,AARTIIND,EQ,FOUND
AAVAS,INE216P01012,NSE_EQ|INE216P01012,AAVAS,EQ,FOUND
ABBOTINDIA,INE358A01014,NSE_EQ|INE358A01014,ABBOTINDIA,EQ,FOUND
ABDL,INE552Z01027,NSE_EQ|INE552Z01027,ABDL,EQ,FOUND
ABFRL,INE647O01011,NSE_EQ|INE647O01011,ABFRL,EQ,FOUND
ABLBL,INE14LE01019,NSE_EQ|INE14LE01019,ABLBL,EQ,FOUND
ABREL,INE055A01016,NSE_EQ|INE055A01016,ABREL,EQ,FOUND
ABSLAMC,INE404A01024,NSE_EQ|INE404A01024,ABSLAMC,EQ,FOUND
ACC,INE012A01025,NSE_EQ|INE012A01025,ACC,EQ,FOUND
ACE,INE731H01025,NSE_EQ|INE731H01025,ACE,EQ,FOUND
ACMESOLAR,INE622W01025,NSE_EQ|INE622W01025,ACMESOLAR,EQ,FOUND
ACUTAAS,INE00FF01025,NSE_EQ|INE00FF01025,ACUTAAS,EQ,FOUND
AEGISLOG,INE208C01025,NSE_EQ|INE208C01025,AEGISLOG,EQ,FOUND
AEGISVOPAK,INE0INX01018,NSE_EQ|INE0INX01018,AEGISVOPAK,EQ,FOUND
AFCONS,INE101I01011,NSE_EQ|INE101I01011,AFCONS,EQ,FOUND
AFFLE,INE00WC01027,NSE_EQ|INE00WC01027,AFFLE,EQ,FOUND
AIAENG,INE212H01026,NSE_EQ|INE212H01026,AIAENG,EQ,FOUND
AIIL,INE206F01022,NSE_EQ|INE206F01022,AIIL,EQ,FOUND
AJANTPHARM,INE031B01049,NSE_EQ|INE031B01049,AJANTPHARM,EQ,FOUND
AMBER,INE371P01015,NSE_EQ|INE371P01015,AMBER,EQ,FOUND
ANANDRATHI,INE463V01026,NSE_EQ|INE463V01026,ANANDRATHI,EQ,FOUND
ANANTRAJ,INE242C01024,NSE_EQ|INE242C01024,ANANTRAJ,EQ,FOUND
ANGELONE,INE732I01021,NSE_EQ|INE732I01021,ANGELONE,EQ,FOUND
ANTHEM,INE0CZ201020,NSE_EQ|INE0CZ201020,ANTHEM,EQ,FOUND
ANURAS,INE930P01018,NSE_EQ|INE930P01018,ANURAS,EQ,FOUND
APARINDS,INE372A01015,NSE_EQ|INE372A01015,APARINDS,EQ,FOUND
APOLLOTYRE,INE438A01022,NSE_EQ|INE438A01022,APOLLOTYRE,EQ,FOUND
APTUS,INE852O01025,NSE_EQ|INE852O01025,APTUS,EQ,FOUND
ARE&M,INE885A01032,NSE_EQ|INE885A01032,ARE&M,EQ,FOUND
ASAHIINDIA,INE439A01020,NSE_EQ|INE439A01020,ASAHIINDIA,EQ,FOUND
ASTERDM,INE914M01019,NSE_EQ|INE914M01019,ASTERDM,EQ,FOUND
ATHERENERG,INE0LEZ01016,NSE_EQ|INE0LEZ01016,ATHERENERG,EQ,FOUND
ATUL,INE100A01010,NSE_EQ|INE100A01010,ATUL,EQ,FOUND
AWL,INE699H01024,NSE_EQ|INE699H01024,AWL,EQ,FOUND
BAJAJHFL,INE377Y01014,NSE_EQ|INE377Y01014,BAJAJHFL,EQ,FOUND
BALKRISIND,INE787D01026,NSE_EQ|INE787D01026,BALKRISIND,EQ,FOUND
BALRAMCHIN,INE119A01028,NSE_EQ|INE119A01028,BALRAMCHIN,EQ,FOUND
BANDHANBNK,INE545U01014,NSE_EQ|INE545U01014,BANDHANBNK,EQ,FOUND
BATAINDIA,INE176A01028,NSE_EQ|INE176A01028,BATAINDIA,EQ,FOUND
BAYERCROP,INE462A01022,NSE_EQ|INE462A01022,BAYERCROP,EQ,FOUND
BBTC,INE050A01025,NSE_EQ|INE050A01025,BBTC,EQ,FOUND
BELRISE,INE894V01022,NSE_EQ|INE894V01022,BELRISE,EQ,FOUND
BEML,INE258A01024,NSE_EQ|INE258A01024,BEML,EQ,FOUND
BERGEPAINT,INE463A01038,NSE_EQ|INE463A01038,BERGEPAINT,EQ,FOUND
BHARTIHEXA,INE343G01021,NSE_EQ|INE343G01021,BHARTIHEXA,EQ,FOUND
BIKAJI,INE00E101023,NSE_EQ|INE00E101023,BIKAJI,EQ,FOUND
BLS,INE153T01027,NSE_EQ|INE153T01027,BLS,EQ,FOUND
BLUEDART,INE233B01017,NSE_EQ|INE233B01017,BLUEDART,EQ,FOUND
BLUEJET,INE0KBH01020,NSE_EQ|INE0KBH01020,BLUEJET,EQ,FOUND
BRIGADE,INE791I01019,NSE_EQ|INE791I01019,BRIGADE,EQ,FOUND
BSOFT,INE836A01035,NSE_EQ|INE836A01035,BSOFT,EQ,FOUND
CAMS,INE596I01020,NSE_EQ|INE596I01020,CAMS,EQ,FOUND
CANFINHOME,INE477A01020,NSE_EQ|INE477A01020,CANFINHOME,EQ,FOUND
CANHLIFE,INE01TY01017,NSE_EQ|INE01TY01017,CANHLIFE,EQ,FOUND
CAPLIPOINT,INE475E01026,NSE_EQ|INE475E01026,CAPLIPOINT,EQ,FOUND
CARBORUNIV,INE120A01034,NSE_EQ|INE120A01034,CARBORUNIV,EQ,FOUND
CARTRADE,INE290S01011,NSE_EQ|INE290S01011,CARTRADE,EQ,FOUND
CASTROLIND,INE172A01027,NSE_EQ|INE172A01027,CASTROLIND,EQ,FOUND
CCL,INE421D01022,NSE_EQ|INE421D01022,CCL,EQ,FOUND
CDSL,INE736A01011,NSE_EQ|INE736A01011,CDSL,EQ,FOUND
CEATLTD,INE482A01020,NSE_EQ|INE482A01020,CEATLTD,EQ,FOUND
CEMPRO,INE686A01026,NSE_EQ|INE686A01026,CEMPRO,EQ,FOUND
CENTRALBK,INE483A01010,NSE_EQ|INE483A01010,CENTRALBK,EQ,FOUND
CESC,INE486A01021,NSE_EQ|INE486A01021,CESC,EQ,FOUND
CGCL,INE180C01042,NSE_EQ|INE180C01042,CGCL,EQ,FOUND
CHALET,INE427F01016,NSE_EQ|INE427F01016,CHALET,EQ,FOUND
CHAMBLFERT,INE085A01013,NSE_EQ|INE085A01013,CHAMBLFERT,EQ,FOUND
CHENNPETRO,INE178A01016,NSE_EQ|INE178A01016,CHENNPETRO,EQ,FOUND
CHOICEIN,INE102B01014,NSE_EQ|INE102B01014,CHOICEIN,EQ,FOUND
CHOLAHLDNG,INE149A01033,NSE_EQ|INE149A01033,CHOLAHLDNG,EQ,FOUND
CIEINDIA,INE536H01010,NSE_EQ|INE536H01010,CIEINDIA,EQ,FOUND
CLEAN,INE227W01023,NSE_EQ|INE227W01023,CLEAN,EQ,FOUND
COHANCE,INE03QK01018,NSE_EQ|INE03QK01018,COHANCE,EQ,FOUND
CONCORDBIO,INE338H01029,NSE_EQ|INE338H01029,CONCORDBIO,EQ,FOUND
CPPLUS,INE819V01029,NSE_EQ|INE819V01029,CPPLUS,EQ,FOUND
CRAFTSMAN,INE00LO01017,NSE_EQ|INE00LO01017,CRAFTSMAN,EQ,FOUND
CREDITACC,INE741K01010,NSE_EQ|INE741K01010,CREDITACC,EQ,FOUND
CRISIL,INE007A01025,NSE_EQ|INE007A01025,CRISIL,EQ,FOUND
CROMPTON,INE299U01018,NSE_EQ|INE299U01018,CROMPTON,EQ,FOUND
CUB,INE491A01021,NSE_EQ|INE491A01021,CUB,EQ,FOUND
CYIENT,INE136B01020,NSE_EQ|INE136B01020,CYIENT,EQ,FOUND
DALBHARAT,INE00R701025,NSE_EQ|INE00R701025,DALBHARAT,EQ,FOUND
DATAPATTNS,INE0IX101010,NSE_EQ|INE0IX101010,DATAPATTNS,EQ,FOUND
DCMSHRIRAM,INE499A01024,NSE_EQ|INE499A01024,DCMSHRIRAM,EQ,FOUND
DEEPAKFERT,INE501A01019,NSE_EQ|INE501A01019,DEEPAKFERT,EQ,FOUND
DEEPAKNTR,INE288B01029,NSE_EQ|INE288B01029,DEEPAKNTR,EQ,FOUND
DELHIVERY,INE148O01028,NSE_EQ|INE148O01028,DELHIVERY,EQ,FOUND
DEVYANI,INE872J01023,NSE_EQ|INE872J01023,DEVYANI,EQ,FOUND
DOMS,INE321T01012,NSE_EQ|INE321T01012,DOMS,EQ,FOUND
ECLERX,INE738I01010,NSE_EQ|INE738I01010,ECLERX,EQ,FOUND
EIDPARRY,INE126A01031,NSE_EQ|INE126A01031,EIDPARRY,EQ,FOUND
EIHOTEL,INE230A01023,NSE_EQ|INE230A01023,EIHOTEL,EQ,FOUND
ELECON,INE205B01031,NSE_EQ|INE205B01031,ELECON,EQ,FOUND
ELGIEQUIP,INE285A01027,NSE_EQ|INE285A01027,ELGIEQUIP,EQ,FOUND
EMAMILTD,INE548C01032,NSE_EQ|INE548C01032,EMAMILTD,EQ,FOUND
EMCURE,INE168P01015,NSE_EQ|INE168P01015,EMCURE,EQ,FOUND
EMMVEE,INE1C6T01020,NSE_EQ|INE1C6T01020,EMMVEE,EQ,FOUND
ENDURANCE,INE913H01037,NSE_EQ|INE913H01037,ENDURANCE,EQ,FOUND
ENGINERSIN,INE510A01028,NSE_EQ|INE510A01028,ENGINERSIN,EQ,FOUND
ERIS,INE406M01024,NSE_EQ|INE406M01024,ERIS,EQ,FOUND
ESCORTS,INE042A01014,NSE_EQ|INE042A01014,ESCORTS,EQ,FOUND
FACT,INE188A01015,NSE_EQ|INE188A01015,FACT,EQ,FOUND
FINCABLES,INE235A01022,NSE_EQ|INE235A01022,FINCABLES,EQ,FOUND
FIRSTCRY,INE02RE01045,NSE_EQ|INE02RE01045,FIRSTCRY,EQ,FOUND
FIVESTAR,INE128S01021,NSE_EQ|INE128S01021,FIVESTAR,EQ,FOUND
FLUOROCHEM,INE09N301011,NSE_EQ|INE09N301011,FLUOROCHEM,EQ,FOUND
FORCEMOT,INE451A01017,NSE_EQ|INE451A01017,FORCEMOT,EQ,FOUND
FSL,INE684F01012,NSE_EQ|INE684F01012,FSL,EQ,FOUND
GABRIEL,INE524A01029,NSE_EQ|INE524A01029,GABRIEL,EQ,FOUND
GALLANTT,INE297H01019,NSE_EQ|INE297H01019,GALLANTT,EQ,FOUND
GESHIP,INE017A01032,NSE_EQ|INE017A01032,GESHIP,EQ,FOUND
GICRE,INE481Y01014,NSE_EQ|INE481Y01014,GICRE,EQ,FOUND
GILLETTE,INE322A01010,NSE_EQ|INE322A01010,GILLETTE,EQ,FOUND
GLAND,INE068V01023,NSE_EQ|INE068V01023,GLAND,EQ,FOUND
GLAXO,INE159A01016,NSE_EQ|INE159A01016,GLAXO,EQ,FOUND
GMDCLTD,INE131A01031,NSE_EQ|INE131A01031,GMDCLTD,EQ,FOUND
GODIGIT,INE03JT01014,NSE_EQ|INE03JT01014,GODIGIT,EQ,FOUND
GODREJIND,INE233A01035,NSE_EQ|INE233A01035,GODREJIND,EQ,FOUND
GPIL,INE177H01039,NSE_EQ|INE177H01039,GPIL,EQ,FOUND
GRANULES,INE101D01020,NSE_EQ|INE101D01020,GRANULES,EQ,FOUND
GRAPHITE,INE371A01025,NSE_EQ|INE371A01025,GRAPHITE,EQ,FOUND
GRAVITA,INE024L01027,NSE_EQ|INE024L01027,GRAVITA,EQ,FOUND
GRSE,INE382Z01011,NSE_EQ|INE382Z01011,GRSE,EQ,FOUND
